season,year,scheme,state,district,crop,insurance_comp,sum_insured,farmer_share,acturial_rate,cut_off_date,area,premium_paid_farmer,premium_paid_goi
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Chatra,Bengal Gram (Chana),BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,56833,1.5,10,"12/31/2018, 1:29:59 PM",1,852.495,4830.805
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Chatra,Wheat,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,70918,1.5,4,"12/31/2018, 1:29:59 PM",1,1063.77,1772.95
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Chatra,Potato,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,194221,5,5,"12/31/2018, 1:29:59 PM",1,9711.05,0
Kharif,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Sidhi,Onion,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,63200,5,15.45,"8/15/2018, 2:29:59 PM",1,3160,6604.4
Kharif,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Sidhi,Chillies,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,68185,5,9.95,"8/15/2018, 2:29:59 PM",1,3409.25,3375.1574999999993
Kharif,2018,Weather Based Crop Insurance Scheme,Telangana,Suryapet,Cotton (Kapas),AGRICULTURE INSURANCE COMPANY,87500,5,23.5,"7/15/2018, 2:29:59 PM",1,4375,16187.5
Kharif,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Sidhi,Tomato,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,63200,5,15.45,"8/15/2018, 2:29:59 PM",1,3160,6604.4
Kharif,2018,Weather Based Crop Insurance Scheme,Telangana,Suryapet,Red Chillies,AGRICULTURE INSURANCE COMPANY,145000,5,23,"7/31/2018, 2:29:59 PM",1,7250,26100
Kharif,2018,Weather Based Crop Insurance Scheme,Telangana,Suryapet,Mosambi (sweet lime),AGRICULTURE INSURANCE COMPANY,112500,5,11,"8/9/2018, 2:29:59 PM",1,5625,6750
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Begusarai,Maize (Makka),AGRICULTURE INSURANCE COMPANY,73750,2,25,"7/30/2017, 2:30:00 PM",1,1475,16962.5
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Begusarai,Paddy (Dhan),AGRICULTURE INSURANCE COMPANY,62500,2,9,"7/30/2017, 2:30:00 PM",1,1250,4375
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Damoh,Pigeon Pea (Red Gram/Arhar/Tur),HDFC ERGO GENERAL INSURANCE CO. LTD.,32000,2,4,"9/8/2018, 2:29:59 PM",1,640,640
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Damoh,Paddy - RF (UnIR),HDFC ERGO GENERAL INSURANCE CO. LTD.,22000,2,12.25,"9/8/2018, 2:29:59 PM",1,440,2255
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Mandsaur,Brinjal,HDFC ERGO GENERAL INSURANCE CO. LTD.,63200,5,9.5,"8/14/2017, 2:30:00 PM",1,3160,2844
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Damoh,Soybean (Bhat),HDFC ERGO GENERAL INSURANCE CO. LTD.,27000,2,17.5,"9/8/2018, 2:29:59 PM",1,540,4185
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Mandsaur,Chillies,HDFC ERGO GENERAL INSURANCE CO. LTD.,68185,5,8,"8/14/2017, 2:30:00 PM",1,3409.25,2045.55
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Mandsaur,Orange,HDFC ERGO GENERAL INSURANCE CO. LTD.,81900,5,10,"8/14/2017, 2:30:00 PM",1,4095,4095
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Mandsaur,Onion,HDFC ERGO GENERAL INSURANCE CO. LTD.,63200,5,9.5,"8/14/2017, 2:30:00 PM",1,3160,2844
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Mandsaur,Papaya,HDFC ERGO GENERAL INSURANCE CO. LTD.,102375,5,6,"8/14/2017, 2:30:00 PM",1,5118.75,1023.75
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Nadia,Paddy - Aman,ORIENTAL INSURANCE,75500,0,1.57,"7/31/2018, 2:29:59 PM",1,0,1185.35
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Nadia,Jute,ORIENTAL INSURANCE,107000,0,1.5,"6/30/2018, 2:29:59 PM",1,0,1605
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Nadia,Paddy - Aus,ORIENTAL INSURANCE,76250,0,5.84,"6/30/2018, 2:29:59 PM",1,0,4453
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Pakur,Mustard,ORIENTAL INSURANCE,31149,1.23,1.23,"12/31/2018, 1:29:59 PM",1,383.13269999999994,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Pakur,Potato,ORIENTAL INSURANCE,143169,2,2,"12/31/2018, 1:29:59 PM",1,2863.38,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Pakur,Wheat,ORIENTAL INSURANCE,54883,0.74,0.74,"12/31/2018, 1:29:59 PM",1,406.13419999999996,0
Rabi,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Baloda Bazar,Cabbage,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,60000,5,10,"12/31/2017, 1:29:59 PM",1,3000,3000
Rabi,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Baloda Bazar,Brinjal,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,60000,5,18,"12/31/2017, 1:29:59 PM",1,3000,7800
Rabi,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Baloda Bazar,Cauliflower,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,60000,5,15,"12/31/2017, 1:29:59 PM",1,3000,6000
Rabi,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Baloda Bazar,Onion,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,75000,5,15,"12/31/2017, 1:29:59 PM",1,3750,7500
Rabi,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Baloda Bazar,Tomato,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,100000,5,20,"12/31/2017, 1:29:59 PM",1,5000,15000
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nandurbar,Black Gram (Urad),AGRICULTURE INSURANCE COMPANY,19000,2,22,"7/31/2019, 2:29:59 PM",1,380,3800
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nandurbar,Green Gram (Moong),AGRICULTURE INSURANCE COMPANY,19000,2,20,"7/31/2019, 2:29:59 PM",1,380,3420
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nandurbar,Groundnut (Pea Nut),AGRICULTURE INSURANCE COMPANY,32000,2,15,"7/31/2019, 2:29:59 PM",1,640,4160
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nandurbar,Paddy (Dhan),AGRICULTURE INSURANCE COMPANY,30000,2,15,"7/31/2019, 2:29:59 PM",1,600,3900
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nandurbar,Pearl Millet (Bajra),AGRICULTURE INSURANCE COMPANY,20000,2,15,"7/31/2019, 2:29:59 PM",1,400,2600
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nandurbar,Pigeon Pea (Red Gram/Arhar/Tur),AGRICULTURE INSURANCE COMPANY,30000,2,25,"7/31/2019, 2:29:59 PM",1,600,6900
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nandurbar,Soybean (Bhat),AGRICULTURE INSURANCE COMPANY,37500,2,20,"7/31/2019, 2:29:59 PM",1,750,6750
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nandurbar,Sorghum (Jowar/Great Millet),AGRICULTURE INSURANCE COMPANY,24500,2,10,"7/31/2019, 2:29:59 PM",1,490,1960
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sitapur,Maize (Makka),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,11710,2,8.97,"7/31/2018, 2:29:59 PM",1,234.2,816.1870000000001
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sitapur,Pearl Millet (Bajra),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,10959,2,2.5,"7/31/2018, 2:29:59 PM",1,219.18,54.795
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sitapur,Paddy (Dhan),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,48038,2,5.5,"7/31/2018, 2:29:59 PM",1,960.76,1681.33
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sitapur,Sesame (Gingelly/Til)/Sesamum,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,16526,2,25.82,"7/31/2018, 2:29:59 PM",1,330.52,3936.4932
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sitapur,Pigeon Pea (Red Gram/Arhar/Tur),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,56174,2,5.1,"7/31/2018, 2:29:59 PM",1,1123.48,1741.394
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Cotton (Kapas) - IR,HDFC ERGO GENERAL INSURANCE CO. LTD.,82500,5,10,"7/31/2018, 2:29:59 PM",1,4125,4125
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Paddy (Dhan),HDFC ERGO GENERAL INSURANCE CO. LTD.,75000,2,6,"8/21/2018, 2:29:59 PM",1,1500,3000
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Sorghum (Jowar/Great Millet),HDFC ERGO GENERAL INSURANCE CO. LTD.,30000,2,10,"7/31/2018, 2:29:59 PM",1,600,2400
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Pigeon Pea (Red Gram/Arhar/Tur),HDFC ERGO GENERAL INSURANCE CO. LTD.,35000,2,16,"7/31/2018, 2:29:59 PM",1,700,4900
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Sugarcane - Seasonal/suru/plant,HDFC ERGO GENERAL INSURANCE CO. LTD.,155000,3.95,3.95,"7/31/2018, 2:29:59 PM",1,6122.5,0
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Turmeric,HDFC ERGO GENERAL INSURANCE CO. LTD.,212500,3.95,3.95,"7/31/2018, 2:29:59 PM",1,8393.75,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Nagaon,Paddy - Summer,ORIENTAL INSURANCE,60500,1.5,1.53,"1/31/2018, 1:29:59 PM",1,907.5,18.150000000000016
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Nagaon,Potato,ORIENTAL INSURANCE,137600,5,9.7,"12/31/2017, 1:29:59 PM",1,6880,6467.199999999999
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Nagaon,Wheat,ORIENTAL INSURANCE,44600,1.5,14.32,"12/31/2017, 1:29:59 PM",1,669,5717.72
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Nagaon,Sugarcane - Noble Cane,ORIENTAL INSURANCE,92000,1.44,1.44,"1/31/2018, 1:29:59 PM",1,1324.8,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Balrampur,Mustard,RELIANCE GENERAL INSURANCE CO. LTD.,27303,1.5,8,"12/31/2018, 1:29:59 PM",1,409.545,1774.695
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Balrampur,Lentil (Masur),RELIANCE GENERAL INSURANCE CO. LTD.,33523,1.5,8,"12/31/2018, 1:29:59 PM",1,502.845,2178.995
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Balrampur,Wheat,RELIANCE GENERAL INSURANCE CO. LTD.,44523,1.5,4,"12/31/2018, 1:29:59 PM",1,667.845,1113.075
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Goa,North Goa,Pulses,FUTURE GENERALI INDIA INSURANCE CO. LTD.,37500,2,2,"7/31/2019, 2:29:59 PM",1,750,0
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Goa,North Goa,Sugarcane - Seasonal/suru/plant,FUTURE GENERALI INDIA INSURANCE CO. LTD.,120000,5,5,"7/31/2019, 2:29:59 PM",1,6000,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Rae Bareli,Bengal Gram (Chana),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,30357,1.5,23.68,"12/31/2017, 1:29:59 PM",1,455.355,6733.1826
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Rae Bareli,Potato,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,61941,3.26,3.26,"12/31/2017, 1:29:59 PM",1,2019.2765999999997,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Rae Bareli,Wheat,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,42705,1.5,5.5,"12/31/2017, 1:29:59 PM",1,640.575,1708.2
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Siddharthnagar,Paddy (Dhan),Bajaj Allianz General Insurance Co. Ltd,54183,2,5.19,"7/30/2017, 2:30:00 PM",1,1083.66,1728.4377000000002
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Visakhapatnam,Fingermillet (Ragi/Mandika),ORIENTAL INSURANCE,20000,2,10,"7/31/2019, 2:29:59 PM",1,400,1600
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Visakhapatnam,Groundnut (Pea Nut) - RF,ORIENTAL INSURANCE,35000,2,5.55,"7/31/2019, 2:29:59 PM",1,700,1242.5
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Visakhapatnam,Maize (Makka),ORIENTAL INSURANCE,50000,2,24.94,"7/31/2019, 2:29:59 PM",1,1000,11470
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Visakhapatnam,Paddy (Dhan),ORIENTAL INSURANCE,72500,2,11.63,"8/21/2019, 2:29:59 PM",1,1450,6981.75
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Visakhapatnam,Pearl Millet (Bajra),ORIENTAL INSURANCE,20000,2,12.98,"7/31/2019, 2:29:59 PM",1,400,2196
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Visakhapatnam,Sugarcane - Ratoon,ORIENTAL INSURANCE,125000,5,9.47,"7/31/2019, 2:29:59 PM",1,6250,5587.500000000001
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Visakhapatnam,Pigeon Pea (Red Gram/Arhar/Tur),ORIENTAL INSURANCE,30000,2,11.79,"7/31/2019, 2:29:59 PM",1,600,2937
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Goa,South Goa,Sugarcane - Seasonal/suru/plant,FUTURE GENERALI INDIA INSURANCE CO. LTD.,120000,5,9,"7/31/2019, 2:29:59 PM",1,6000,4800
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Goa,South Goa,Pulses,FUTURE GENERALI INDIA INSURANCE CO. LTD.,37500,2,12,"7/31/2019, 2:29:59 PM",1,750,3750
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Bara Banki,Mustard,NEW INDIA ASSURANCE COMPANY,26141,1.5,6,"12/31/2018, 1:29:59 PM",1,392.115,1176.345
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Bara Banki,Wheat,NEW INDIA ASSURANCE COMPANY,53690,1.5,3,"12/31/2018, 1:29:59 PM",1,805.35,805.35
Rabi,2018,Weather Based Crop Insurance Scheme,Uttarakhand,Hardwar,Litchi - 11 To 30 Years,AGRICULTURE INSURANCE COMPANY,1000,5,10,"12/31/2018, 1:29:59 PM",1,50,50
Rabi,2018,Weather Based Crop Insurance Scheme,Uttarakhand,Hardwar,Mango - 5 To 15 Years,AGRICULTURE INSURANCE COMPANY,500,5,8,"12/31/2018, 1:29:59 PM",1,25,15
Rabi,2018,Weather Based Crop Insurance Scheme,Uttarakhand,Hardwar,Peas (Field Peas/ Garden Peas/Matar),AGRICULTURE INSURANCE COMPANY,75000,5,5,"12/31/2018, 1:29:59 PM",1,3750,0
Rabi,2018,Weather Based Crop Insurance Scheme,Uttarakhand,Hardwar,Tomato,AGRICULTURE INSURANCE COMPANY,75000,5,5,"12/31/2018, 1:29:59 PM",1,3750,0
Kharif,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Singrauli,Brinjal,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,63200,5,15.45,"8/15/2018, 2:29:59 PM",1,3160,6604.4
Kharif,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Singrauli,Chillies,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,68185,5,9.95,"8/15/2018, 2:29:59 PM",1,3409.25,3375.1574999999993
Kharif,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Singrauli,Tomato,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,63200,5,15.45,"8/15/2018, 2:29:59 PM",1,3160,6604.4
Kharif,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Singrauli,Onion,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,63200,5,15.45,"8/15/2018, 2:29:59 PM",1,3160,6604.4
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Shrawasti,Paddy (Dhan),NEW INDIA ASSURANCE COMPANY,46670,2,5.75,"7/30/2017, 2:30:00 PM",1,933.4,1750.125
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Shrawasti,Pigeon Pea (Red Gram/Arhar/Tur),NEW INDIA ASSURANCE COMPANY,26997,2,12,"7/30/2017, 2:30:00 PM",1,539.94,2699.7
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Telangana,Peddapalli,Maize (Makka) - RF,Cholamandalam MS General Insurance company limited,62500,2,6.72,"7/30/2017, 2:30:00 PM",1,1250,2950
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Telangana,Peddapalli,Paddy (Dhan),Cholamandalam MS General Insurance company limited,72500,2,2,"8/30/2017, 2:30:00 PM",1,1450,0
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Tapi,Cotton (Kapas) - IR,RELIANCE GENERAL INSURANCE CO. LTD.,36000,5,12,"7/15/2019, 2:29:59 PM",1,1800,2520
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Tapi,Black Gram (Urad),RELIANCE GENERAL INSURANCE CO. LTD.,27000,2,5,"7/15/2019, 2:29:59 PM",1,540,810
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Tapi,Groundnut (Pea Nut),RELIANCE GENERAL INSURANCE CO. LTD.,14000,2,10,"7/15/2019, 2:29:59 PM",1,280,1120
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Tapi,Moth Bean (Kidney Bean/ Deww Gram),RELIANCE GENERAL INSURANCE CO. LTD.,10500,2,4,"7/15/2019, 2:29:59 PM",1,210,210
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Tapi,Pigeon Pea (Red Gram/Arhar/Tur),RELIANCE GENERAL INSURANCE CO. LTD.,11500,2,6,"7/15/2019, 2:29:59 PM",1,230,460
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Tapi,Sorghum (Jowar/Great Millet),RELIANCE GENERAL INSURANCE CO. LTD.,9000,2,12,"7/15/2019, 2:29:59 PM",1,180,900
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Datia,Brinjal,UNITED INDIA INSURANCE CO.,47400,5,11.25,"7/31/2019, 2:29:59 PM",1,2370,2962.5
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Datia,Chillies,UNITED INDIA INSURANCE CO.,51138.75,5,11.25,"7/31/2019, 2:29:59 PM",1,2556.9375,3196.171875
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Datia,Onion,UNITED INDIA INSURANCE CO.,47400,5,11.25,"7/31/2019, 2:29:59 PM",1,2370,2962.5
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Datia,Tomato,UNITED INDIA INSURANCE CO.,47400,5,11.25,"7/31/2019, 2:29:59 PM",1,2370,2962.5
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Karbi Anglong,Potato,ORIENTAL INSURANCE,137600,4.96,4.96,"12/31/2017, 1:29:59 PM",1,6824.96,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Karbi Anglong,Paddy - Summer,ORIENTAL INSURANCE,60500,1,1,"1/31/2018, 1:29:59 PM",1,605,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Karbi Anglong,Sugarcane - Noble Cane,ORIENTAL INSURANCE,92000,5,6.8,"1/31/2018, 1:29:59 PM",1,4600,1655.9999999999998
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Karbi Anglong,Wheat,ORIENTAL INSURANCE,44600,1,1,"12/31/2017, 1:29:59 PM",1,446,0
Kharif,2018,Weather Based Crop Insurance Scheme,Chhattisgarh,Kabeerdham,Banana,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,280000,5,70,"7/31/2018, 2:29:59 PM",1,14000,182000
Kharif,2018,Weather Based Crop Insurance Scheme,Chhattisgarh,Kabeerdham,Brinjal,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,87500,5,55,"7/31/2018, 2:29:59 PM",1,4375,43750
Kharif,2018,Weather Based Crop Insurance Scheme,Chhattisgarh,Kabeerdham,Ginger,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,130000,5,14,"7/31/2018, 2:29:59 PM",1,6500,11700
Kharif,2018,Weather Based Crop Insurance Scheme,Chhattisgarh,Kabeerdham,Chillies,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,61250,5,45,"7/31/2018, 2:29:59 PM",1,3062.5,24500
Kharif,2018,Weather Based Crop Insurance Scheme,Chhattisgarh,Kabeerdham,Papaya,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,245000,5,42,"7/31/2018, 2:29:59 PM",1,12250,90650
Kharif,2018,Weather Based Crop Insurance Scheme,Chhattisgarh,Kabeerdham,Guava,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,45000,5,55,"7/31/2018, 2:29:59 PM",1,2250,22500
Kharif,2018,Weather Based Crop Insurance Scheme,Chhattisgarh,Kabeerdham,Tomato,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,157500,5,55,"7/31/2018, 2:29:59 PM",1,7875,78750
Rabi,2018,Weather Based Crop Insurance Scheme,Telangana,Sangareddy,Mango - 5 To 15 Years,AGRICULTURE INSURANCE COMPANY,450,5,5,"12/15/2018, 1:29:59 PM",1,22.5,0
Rabi,2018,Weather Based Crop Insurance Scheme,Telangana,Sangareddy,Mango - 16 To 50 Years,AGRICULTURE INSURANCE COMPANY,800,5,5,"12/15/2018, 1:29:59 PM",1,40,0
Kharif,2017,Weather Based Crop Insurance Scheme,Maharashtra,Satara,Pomegranate,RELIANCE GENERAL INSURANCE CO. LTD.,110000,5,62,"7/13/2017, 2:30:00 PM",1,5500,62700
Rabi,2017,Weather Based Crop Insurance Scheme,Telangana,Warangal Rural,Mango - 5 To 15 Years,UNITED INDIA INSURANCE CO.,450,5,14.39,"12/15/2017, 1:29:59 PM",1,22.5,42.255
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Wardha,Bengal Gram (Chana),BHARTI AXA GENERAL INSURANCE COMPANY LTD.,23100,1.5,49.5,"12/31/2018, 1:29:59 PM",1,346.5,11088
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Morbi,"Castor (Rehri, Rendi, Arandi)",UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,40000,2,13,"8/31/2019, 2:29:59 PM",1,800,4400
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Morbi,Cotton (Kapas) - IR,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,60000,5,11.12,"7/15/2019, 2:29:59 PM",1,3000,3671.9999999999995
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Morbi,Groundnut (Pea Nut),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,45000,2,35,"7/15/2019, 2:29:59 PM",1,900,14850
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Morbi,Cotton (Kapas) - RF,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,30000,5,14.14,"7/15/2019, 2:29:59 PM",1,1500,2742
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Morbi,Sesame (Gingelly/Til)/Sesamum,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,26000,2,13,"7/15/2019, 2:29:59 PM",1,520,2860
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Maize (Makka),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,28050,2,6.6,"7/31/2019, 2:29:59 PM",1,561,1290.3
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Pearl Millet (Bajra),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,27030,2,9.83,"7/31/2019, 2:29:59 PM",1,540.6,2116.449
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Pigeon Pea (Red Gram/Arhar/Tur),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,29070,2,15.12,"7/31/2019, 2:29:59 PM",1,581.4,3813.9839999999995
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Sorghum (Jowar/Great Millet),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,21930,2,10.83,"7/31/2019, 2:29:59 PM",1,438.6,1936.4189999999999
Kharif,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Bijapur,Chillies,Bajaj Allianz General Insurance Co. Ltd,58000,5,37,"7/30/2017, 2:30:00 PM",1,2900,18560
Kharif,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Bijapur,Guava,Bajaj Allianz General Insurance Co. Ltd,18000,5,45,"7/30/2017, 2:30:00 PM",1,900,7200
Kharif,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Bijapur,Tomato,Bajaj Allianz General Insurance Co. Ltd,77000,5,24,"7/30/2017, 2:30:00 PM",1,3850,14630
Kharif,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Bijapur,Papaya,Bajaj Allianz General Insurance Co. Ltd,89000,5,22,"7/30/2017, 2:30:00 PM",1,4450,15130
